ticker_and_date,ticker,report_year,close_year,close_next_year,next_year_return,next_year_return_winsor,next_year_return_scaled
BIKE_2024,BIKE,2024,471.5897521972656,770.0,0.6327750898155853,0.6327750898155853,0.08144736591495445
BIMA_2021,BIMA,2021,246.0,117.0,-0.524390243902439,-0.524390243902439,-0.06749665839374547
BIMA_2022,BIMA,2022,117.0,90.0,-0.2307692307692307,-0.2307692307692307,-0.02970335950780211
BIMA_2023,BIMA,2023,90.0,87.0,-0.0333333333333333,-0.0333333333333333,-0.0042904852622380795
BIMA_2024,BIMA,2024,87.0,82.0,-0.057471264367816,-0.057471264367816,-0.007397388383169098
BINO_2024,BINO,2024,165.0,138.0,-0.1636363636363636,-0.1636363636363636,-0.0210623821964415
BIPI_2021,BIPI,2021,50.0,158.0,2.16,2.16,0.27802344499302784
BIPI_2022,BIPI,2022,158.0,105.0,-0.3354430379746835,-0.3354430379746835,-0.043176402322522484
BIPI_2023,BIPI,2023,105.0,87.0,-0.1714285714285714,-0.1714285714285714,-0.022065352777224427
BIPI_2024,BIPI,2024,87.0,86.0,-0.0114942528735632,-0.0114942528735632,-0.0014794776766338196
BIPP_2021,BIPP,2021,55.0,51.0,-0.0727272727272727,-0.0727272727272727,-0.009361058753973996
BIPP_2022,BIPP,2022,51.0,50.0,-0.0196078431372549,-0.0196078431372549,-0.002523814860140049
BIPP_2023,BIPP,2023,50.0,27.0,-0.46,-0.46,-0.05920869661888556
BIPP_2024,BIPP,2024,27.0,64.0,1.3703703703703705,1.3703703703703705,0.17638661633645458
BIRD_2021,BIRD,2021,1133.562744140625,1204.3795166015625,0.0624727416519188,0.0624727416519188,0.008041151320474947
BIRD_2022,BIRD,2022,1204.3795166015625,1579.508544921875,0.3114707807210359,0.3114707807210359,0.04009082382904183
BIRD_2023,BIRD,2023,1579.508544921875,1509.8963623046875,-0.0440720519309571,-0.0440720519309571,-0.005672714678590887
BIRD_2024,BIRD,2024,1509.8963623046875,1700.0,0.12590509020443,0.12590509020443,0.016205818018885904
BISI_2021,BISI,2021,821.6444091796875,1372.9610595703125,0.6709917869958465,0.6709917869958465,0.08636641119565425
BISI_2022,BISI,2022,1372.9610595703125,1432.92333984375,0.043673693332718,0.043673693332718,0.005621440127745967
BISI_2023,BISI,2023,1432.92333984375,1122.7235107421875,-0.2164804079019241,-0.2164804079019241,-0.027864179989994825
BISI_2024,BISI,2024,1122.7235107421875,842.7305297851562,-0.2493872964074112,-0.2493872964074112,-0.03209977559476195
BKDP_2021,BKDP,2021,88.0,87.0,-0.0113636363636363,-0.0113636363636363,-0.0014626654303084294
BKDP_2022,BKDP,2022,87.0,51.0,-0.4137931034482758,-0.4137931034482758,-0.053261196358817584
BKDP_2023,BKDP,2023,51.0,51.0,0.0,0.0,0.0
BKDP_2024,BKDP,2024,51.0,43.0,-0.1568627450980392,-0.1568627450980392,-0.020190518881120393
BKSL_2024,BKSL,2024,71.0,139.0,0.9577464788732394,0.9577464788732394,0.12327591457698156
BLTA_2021,BLTA,2021,50.0,50.0,0.0,0.0,0.0
BLTA_2022,BLTA,2022,50.0,50.0,0.0,0.0,0.0
BLTA_2023,BLTA,2023,50.0,21.0,-0.58,-0.58,-0.07465444356294265
BLTA_2024,BLTA,2024,21.0,42.0,1.0,1.0,0.1287145578671425
BLTZ_2021,BLTZ,2021,3370.0,3190.0,-0.0534124629080118,-0.0534124629080118,-0.006874961547799888
